CountryCode,ServicesType,PercentOfExportedServices
ISL,Other manufacturing (% of value added in manufacturing),40.0463113
ISL,Textiles and clothing (% of value added in manufacturing),1.152497345
IND,Transport services (% of commercial service exports),11.87445855
IND,Travel services (% of commercial service exports),12.57876306
IND,Insurance and financial services (% of commercial service exports),5.060903788
IND,"Computer, communications and other services (% of commercial service exports)",70.48587461
IND,Chemicals (% of value added in manufacturing),16.1408592
IND,"Food, beverages and tobacco (% of value added in manufacturing)",9.807163066
IND,Machinery and transport equipment (% of value added in manufacturing),18.92663872
IND,Other manufacturing (% of value added in manufacturing),46.61638369
IND,Textiles and clothing (% of value added in manufacturing),8.50895533
IDN,Transport services (% of commercial service exports),16.54027382
IDN,Travel services (% of commercial service exports),44.7700808
IDN,Insurance and financial services (% of commercial service exports),1.084690222
IDN,"Computer, communications and other services (% of commercial service exports)",37.60495516
IDN,Chemicals (% of value added in manufacturing),13.40266711
IDN,"Food, beverages and tobacco (% of value added in manufacturing)",28.41257684
IDN,Machinery and transport equipment (% of value added in manufacturing),16.71248015
IDN,Other manufacturing (% of value added in manufacturing),31.28032338
IDN,Textiles and clothing (% of value added in manufacturing),10.19195251
IRN,Chemicals (% of value added in manufacturing),26.71273495
IRN,"Food, beverages and tobacco (% of value added in manufacturing)",11.02855389
IRN,Machinery and transport equipment (% of value added in manufacturing),15.79901318
IRN,Other manufacturing (% of value added in manufacturing),43.88363902
IRN,Textiles and clothing (% of value added in manufacturing),2.576058963
IRQ,Transport services (% of commercial service exports),9.512787872
IRQ,Travel services (% of commercial service exports),56.06700613
IRQ,Insurance and financial services (% of commercial service exports),0.963430159
IRQ,"Computer, communications and other services (% of commercial service exports)",33.45677584
IRQ,Chemicals (% of value added in manufacturing),1.331053562
IRQ,"Food, beverages and tobacco (% of value added in manufacturing)",21.51605994
IRQ,Machinery and transport equipment (% of value added in manufacturing),1.817604733
IRQ,Other manufacturing (% of value added in manufacturing),75.25718281
IRQ,Textiles and clothing (% of value added in manufacturing),0.078098949
IRL,Transport services (% of commercial service exports),5.223658924
IRL,Travel services (% of commercial service exports),3.682331801
IRL,Insurance and financial services (% of commercial service exports),19.10925702
IRL,"Computer, communications and other services (% of commercial service exports)",71.98475226
IRL,Chemicals (% of value added in manufacturing),42.6877155
IRL,"Food, beverages and tobacco (% of value added in manufacturing)",23.70861973
IRL,Machinery and transport equipment (% of value added in manufacturing),11.74395486
IRL,Other manufacturing (% of value added in manufacturing),21.40310751
IRL,Textiles and clothing (% of value added in manufacturing),0.4566024
ISR,Transport services (% of commercial service exports),11.63144958
ISR,Travel services (% of commercial service exports),16.04307803
ISR,Insurance and financial services (% of commercial service exports),0.079944896
ISR,"Computer, communications and other services (% of commercial service exports)",72.2455275
ISR,"Food, beverages and tobacco (% of value added in manufacturing)",12.02075037
ISR,Machinery and transport equipment (% of value added in manufacturing),40.70786978
ISR,Other manufacturing (% of value added in manufacturing),45.21687887
ISR,Textiles and clothing (% of value added in manufacturing),2.054500973
ITA,Transport services (% of commercial service exports),13.83066869
ITA,Travel services (% of commercial service exports),40.13600975
ITA,Insurance and financial services (% of commercial service exports),7.442481041
ITA,"Computer, communications and other services (% of commercial service exports)",38.59084052
ITA,Chemicals (% of value added in manufacturing),8.468358695
ITA,"Food, beverages and tobacco (% of value added in manufacturing)",11.38425763
ITA,Machinery and transport equipment (% of value added in manufacturing),29.66831787
ITA,Other manufacturing (% of value added in manufacturing),40.62768879
ITA,Textiles and clothing (% of value added in manufacturing),9.851377016
JAM,Transport services (% of commercial service exports),7.472035064
JAM,Travel services (% of commercial service exports),77.21184934
JAM,Insurance and financial services (% of commercial service exports),0.504646913
JAM,"Computer, communications and other services (% of commercial service exports)",14.81146868
JPN,Transport services (% of commercial service exports),24.8431331
JPN,Travel services (% of commercial service exports),11.80704942
JPN,Insurance and financial services (% of commercial service exports),5.562625003
JPN,"Computer, communications and other services (% of commercial service exports)",57.78719247
JPN,Chemicals (% of value added in manufacturing),10.95370239
JPN,"Food, beverages and tobacco (% of value added in manufacturing)",12.37669277
JPN,Machinery and transport equipment (% of value added in manufacturing),39.58436939
JPN,Other manufacturing (% of value added in manufacturing),35.5000571
JPN,Textiles and clothing (% of value added in manufacturing),1.585178354
JOR,Transport services (% of commercial service exports),24.27567948
JOR,Travel services (% of commercial service exports),66.32790315
JOR,Insurance and financial services (% of commercial service exports),1.214851506
JOR,"Computer, communications and other services (% of commercial service exports)",8.181565856
JOR,Chemicals (% of value added in manufacturing),21.53606414
JOR,"Food, beverages and tobacco (% of value added in manufacturing)",30.37424539
JOR,Machinery and transport equipment (% of value added in manufacturing),3.204022112
JOR,Other manufacturing (% of value added in manufacturing),39.69830412
JOR,Textiles and clothing (% of value added in manufacturing),5.187364229
KAZ,Transport services (% of commercial service exports),58.29497457
KAZ,Travel services (% of commercial service exports),29.68301861
KAZ,Insurance and financial services (% of commercial service exports),1.312878882
KAZ,"Computer, communications and other services (% of commercial service exports)",10.70912794
KAZ,Chemicals (% of value added in manufacturing),6.483238476
KAZ,"Food, beverages and tobacco (% of value added in manufacturing)",25.05771402
KAZ,Machinery and transport equipment (% of value added in manufacturing),8.92750297
KAZ,Other manufacturing (% of value added in manufacturing),58.63405908
KAZ,Textiles and clothing (% of value added in manufacturing),0.89748545
KEN,Transport services (% of commercial service exports),51.78595212
KEN,Travel services (% of commercial service exports),19.69559545
KEN,Insurance and financial services (% of commercial service exports),6.91120145
KEN,"Computer, communications and other services (% of commercial service exports)",21.60725098
KEN,Chemicals (% of value added in manufacturing),7.892408522
KEN,"Food, beverages and tobacco (% of value added in manufacturing)",38.6116677
KEN,Machinery and transport equipment (% of value added in manufacturing),5.304852434
KEN,Other manufacturing (% of value added in manufacturing),33.46183443
KEN,Textiles and clothing (% of value added in manufacturing),14.72923691
KIR,Transport services (% of commercial service exports),21.30048818
KIR,Travel services (% of commercial service exports),29.20181619
KIR,Insurance and financial services (% of commercial service exports),12.49013713
KIR,"Computer, communications and other services (% of commercial service exports)",37.00755849
KOR,Transport services (% of commercial service exports),34.43342735
KOR,Travel services (% of commercial service exports),15.76403159
KOR,Insurance and financial services (% of commercial service exports),2.016121751
KOR,"Computer, communications and other services (% of commercial service exports)",47.7864193
KOR,Chemicals (% of value added in manufacturing),10.35314068
KOR,"Food, beverages and tobacco (% of value added in manufacturing)",6.394729081
KOR,Machinery and transport equipment (% of value added in manufacturing),48.62532854
KOR,Other manufacturing (% of value added in manufacturing),31.08632504
KOR,Textiles and clothing (% of value added in manufacturing),3.540476661
XKX,Transport services (% of commercial service exports),2.966538136
XKX,Travel services (% of commercial service exports),74.56122696
XKX,Insurance and financial services (% of commercial service exports),2.445060833
XKX,"Computer, communications and other services (% of commercial service exports)",20.02717407
KWT,Transport services (% of commercial service exports),29.31199991
KWT,Travel services (% of commercial service exports),6.497162215
KWT,Insurance and financial services (% of commercial service exports),9.799135218
KWT,"Computer, communications and other services (% of commercial service exports)",54.39170266
KWT,Chemicals (% of value added in manufacturing),21.64431564
KWT,"Food, beverages and tobacco (% of value added in manufacturing)",6.396694248
KWT,Machinery and transport equipment (% of value added in manufacturing),1.800122806
KWT,Other manufacturing (% of value added in manufacturing),67.25901391
KWT,Textiles and clothing (% of value added in manufacturing),2.899853393
KGZ,Transport services (% of commercial service exports),17.76431433
KGZ,Travel services (% of commercial service exports),47.28732149
KGZ,Insurance and financial services (% of commercial service exports),0.363151919
KGZ,"Computer, communications and other services (% of commercial service exports)",34.58521226
KGZ,Chemicals (% of value added in manufacturing),1.296138247
KGZ,"Food, beverages and tobacco (% of value added in manufacturing)",14.93359701
KGZ,Machinery and transport equipment (% of value added in manufacturing),1.050355377
KGZ,Other manufacturing (% of value added in manufacturing),78.8811754
KGZ,Textiles and clothing (% of value added in manufacturing),3.838733964
LAO,Transport services (% of commercial service exports),7.599651891
LAO,Travel services (% of commercial service exports),85.12920299
LAO,Insurance and financial services (% of commercial service exports),1.642859614
LAO,"Computer, communications and other services (% of commercial service exports)",5.628285509
LAO,Chemicals (% of value added in manufacturing),2.266771382
LAO,"Food, beverages and tobacco (% of value added in manufacturing)",33.35607739
LAO,Machinery and transport equipment (% of value added in manufacturing),0.917711837
LAO,Other manufacturing (% of value added in manufacturing),47.74101739
LAO,Textiles and clothing (% of value added in manufacturing),15.718422
LVA,Transport services (% of commercial service exports),45.59728778
LVA,Travel services (% of commercial service exports),17.57183938
LVA,Insurance and financial services (% of commercial service exports),10.24480936
LVA,"Computer, communications and other services (% of commercial service exports)",26.58606348
LVA,Chemicals (% of value added in manufacturing),2.250285771
LVA,"Food, beverages and tobacco (% of value added in manufacturing)",19.78896365
LVA,Machinery and transport equipment (% of value added in manufacturing),15.17937169
LVA,Other manufacturing (% of value added in manufacturing),57.75106976
LVA,Textiles and clothing (% of value added in manufacturing),5.030309137
LBN,Transport services (% of commercial service exports),8.742133629
LBN,Travel services (% of commercial service exports),44.40985114
LBN,Insurance and financial services (% of commercial service exports),13.58418524
LBN,"Computer, communications and other services (% of commercial service exports)",33.26382999
LBN,"Food, beverages and tobacco (% of value added in manufacturing)",32.32002779
LBN,Other manufacturing (% of value added in manufacturing),62.28652306
LBN,Textiles and clothing (% of value added in manufacturing),5.393449148
LSO,Transport services (% of commercial service exports),6.891014002
LSO,Travel services (% of commercial service exports),61.24476093
LSO,Insurance and financial services (% of commercial service exports),0.152497175
LSO,"Computer, communications and other services (% of commercial service exports)",31.7117279
LBR,Insurance and financial services (% of commercial service exports),100
LBR,"Computer, communications and other services (% of commercial service exports)",-4.82E-12
LBY,Transport services (% of commercial service exports),41.66666667
LBY,Insurance and financial services (% of commercial service exports),41.16161616
LBY,"Computer, communications and other services (% of commercial service exports)",17.17171717
LTU,Transport services (% of commercial service exports),61.47014967
LTU,Travel services (% of commercial service exports),17.84465616
LTU,Insurance and financial services (% of commercial service exports),1.264195106
LTU,"Computer, communications and other services (% of commercial service exports)",19.42099907
LTU,Chemicals (% of value added in manufacturing),8.313579819
LTU,"Food, beverages and tobacco (% of value added in manufacturing)",21.19458891
LTU,Machinery and transport equipment (% of value added in manufacturing),12.82015557
LTU,Other manufacturing (% of value added in manufacturing),49.07745624
LTU,Textiles and clothing (% of value added in manufacturing),8.594219464
LUX,Transport services (% of commercial service exports),5.28773875
LUX,Travel services (% of commercial service exports),5.173922807
LUX,Insurance and financial services (% of commercial service exports),60.64278437
LUX,"Computer, communications and other services (% of commercial service exports)",28.89555407
LUX,Chemicals (% of value added in manufacturing),2.968099941
LUX,"Food, beverages and tobacco (% of value added in manufacturing)",10.78660563
LUX,Machinery and transport equipment (% of value added in manufacturing),15.28432693
LUX,Other manufacturing (% of value added in manufacturing),70.96096751
MAC,Transport services (% of commercial service exports),1.385738741
MAC,Travel services (% of commercial service exports),94.50344646
MAC,Insurance and financial services (% of commercial service exports),2.604281029
MAC,"Computer, communications and other services (% of commercial service exports)",1.506533773
MAC,"Food, beverages and tobacco (% of value added in manufacturing)",30.01208967
MAC,Other manufacturing (% of value added in manufacturing),58.18609939
MAC,Textiles and clothing (% of value added in manufacturing),11.80181094
MDG,Transport services (% of commercial service exports),32.45102075
MDG,Travel services (% of commercial service exports),51.49788186
MDG,Insurance and financial services (% of commercial service exports),0.211596251
MDG,"Computer, communications and other services (% of commercial service exports)",15.83950114
MWI,Transport services (% of commercial service exports),20.20806461
MWI,Travel services (% of commercial service exports),31.20964624
MWI,Insurance and financial services (% of commercial service exports),18.13116535
MWI,"Computer, communications and other services (% of commercial service exports)",30.4511238
MYS,Transport services (% of commercial service exports),11.37177966
MYS,Travel services (% of commercial service exports),53.84502091
MYS,Insurance and financial services (% of commercial service exports),1.924816236
MYS,"Computer, communications and other services (% of commercial service exports)",32.85838319
MYS,Chemicals (% of value added in manufacturing),9.083637002
MYS,"Food, beverages and tobacco (% of value added in manufacturing)",14.08763224
MYS,Machinery and transport equipment (% of value added in manufacturing),31.05558519
MYS,Other manufacturing (% of value added in manufacturing),44.03964087
MYS,Textiles and clothing (% of value added in manufacturing),1.733504703
MDV,Transport services (% of commercial service exports),7.171922512
MDV,Travel services (% of commercial service exports),90.11526156
MDV,Insurance and financial services (% of commercial service exports),0
MDV,"Computer, communications and other services (% of commercial service exports)",2.712815926
MDV,Chemicals (% of value added in manufacturing),0.041928265
MDV,"Food, beverages and tobacco (% of value added in manufacturing)",1.799874497
MDV,Machinery and transport equipment (% of value added in manufacturing),2.591396367
MDV,Other manufacturing (% of value added in manufacturing),74.45991682
MDV,Textiles and clothing (% of value added in manufacturing),21.10688405
MLI,Transport services (% of commercial service exports),0.95361658
MLI,Travel services (% of commercial service exports),52.35939993
MLI,Insurance and financial services (% of commercial service exports),1.6624519
MLI,"Computer, communications and other services (% of commercial service exports)",45.02453159
MLT,Transport services (% of commercial service exports),4.383981876
MLT,Travel services (% of commercial service exports),11.41475508
MLT,Insurance and financial services (% of commercial service exports),30.17569212
MLT,"Computer, communications and other services (% of commercial service exports)",54.02557092
MLT,Chemicals (% of value added in manufacturing),6.272901762
MLT,Machinery and transport equipment (% of value added in manufacturing),0.355522596
MLT,Other manufacturing (% of value added in manufacturing),91.01432996
MLT,Textiles and clothing (% of value added in manufacturing),2.357245681
MHL,Transport services (% of commercial service exports),38.41072333
MHL,Travel services (% of commercial service exports),48.41973528
MHL,"Computer, communications and other services (% of commercial service exports)",13.16954139
MRT,Transport services (% of commercial service exports),13.68775317
MRT,Travel services (% of commercial service exports),14.30477005
MRT,Insurance and financial services (% of commercial service exports),1.124911918
MRT,"Computer, communications and other services (% of commercial service exports)",70.88256486
MUS,Transport services (% of commercial service exports),12.91291266
MUS,Travel services (% of commercial service exports),50.8373127
MUS,Insurance and financial services (% of commercial service exports),5.149527777
MUS,"Computer, communications and other services (% of commercial service exports)",31.10024687
MUS,"Food, beverages and tobacco (% of value added in manufacturing)",39.93952851
MUS,Machinery and transport equipment (% of value added in manufacturing),4.530637313
MUS,Other manufacturing (% of value added in manufacturing),21.3776161
MUS,Textiles and clothing (% of value added in manufacturing),34.15221808
MEX,Transport services (% of commercial service exports),4.120016025
MEX,Travel services (% of commercial service exports),77.04005695
MEX,Insurance and financial services (% of commercial service exports),17.49635504
MEX,"Computer, communications and other services (% of commercial service exports)",1.343571992
MEX,Chemicals (% of value added in manufacturing),10.08387767
MEX,"Food, beverages and tobacco (% of value added in manufacturing)",23.71174632
MEX,Machinery and transport equipment (% of value added in manufacturing),27.22100892
MEX,Other manufacturing (% of value added in manufacturing),35.98797491
MEX,Textiles and clothing (% of value added in manufacturing),2.995392174
FSM,Transport services (% of commercial service exports),13.30171601
FSM,Travel services (% of commercial service exports),75.71640161
FSM,"Computer, communications and other services (% of commercial service exports)",10.98188238
MDA,Transport services (% of commercial service exports),35.919574
MDA,Travel services (% of commercial service exports),21.11724874
MDA,Insurance and financial services (% of commercial service exports),0.664490873
MDA,"Computer, communications and other services (% of commercial service exports)",42.29868639
MDA,Chemicals (% of value added in manufacturing),4.890033508
MDA,"Food, beverages and tobacco (% of value added in manufacturing)",44.0534388
MDA,Machinery and transport equipment (% of value added in manufacturing),7.482201957
MDA,Other manufacturing (% of value added in manufacturing),32.10866063
MDA,Textiles and clothing (% of value added in manufacturing),11.4656651
MNG,Transport services (% of commercial service exports),33.84974818
MNG,Travel services (% of commercial service exports),35.54343421
MNG,Insurance and financial services (% of commercial service exports),0.577225517
MNG,"Computer, communications and other services (% of commercial service exports)",30.02959209
MNG,Chemicals (% of value added in manufacturing),3.159535509
MNG,"Food, beverages and tobacco (% of value added in manufacturing)",26.31736955
MNG,Machinery and transport equipment (% of value added in manufacturing),1.418336631
MNG,Other manufacturing (% of value added in manufacturing),50.67982595
MNG,Textiles and clothing (% of value added in manufacturing),18.42493236
MNE,Transport services (% of commercial service exports),17.12267209
MNE,Travel services (% of commercial service exports),66.33882121
MNE,Insurance and financial services (% of commercial service exports),0.402251354
MNE,"Computer, communications and other services (% of commercial service exports)",16.13625534
MNE,Chemicals (% of value added in manufacturing),3.426839359
MNE,"Food, beverages and tobacco (% of value added in manufacturing)",41.47582239
MNE,Machinery and transport equipment (% of value added in manufacturing),12.29026796
MNE,Other manufacturing (% of value added in manufacturing),40.69090426
MNE,Textiles and clothing (% of value added in manufacturing),2.116166031
MAR,Transport services (% of commercial service exports),19.49858123
MAR,Travel services (% of commercial service exports),46.72415762
MAR,Insurance and financial services (% of commercial service exports),1.277113289
MAR,"Computer, communications and other services (% of commercial service exports)",32.50014786
MAR,"Food, beverages and tobacco (% of value added in manufacturing)",28.80187348
MAR,Other manufacturing (% of value added in manufacturing),62.90498534
MAR,Textiles and clothing (% of value added in manufacturing),8.293141177
MOZ,Transport services (% of commercial service exports),59.66659797
MOZ,Travel services (% of commercial service exports),28.50666982
MOZ,Insurance and financial services (% of commercial service exports),0.019647244
MOZ,"Computer, communications and other services (% of commercial service exports)",11.80708497
MMR,Transport services (% of commercial service exports),13.32901188
MMR,Travel services (% of commercial service exports),52.14709024
MMR,Insurance and financial services (% of commercial service exports),0.193392687
MMR,"Computer, communications and other services (% of commercial service exports)",34.3305052
NAM,Transport services (% of commercial service exports),13.42354139
NAM,Travel services (% of commercial service exports),54.84888692
NAM,Insurance and financial services (% of commercial service exports),3.045000337
NAM,"Computer, communications and other services (% of commercial service exports)",28.68257136
NAM,Chemicals (% of value added in manufacturing),7.348910061
NAM,"Food, beverages and tobacco (% of value added in manufacturing)",40.85628508
NAM,Other manufacturing (% of value added in manufacturing),46.06448245
NAM,Textiles and clothing (% of value added in manufacturing),5.73032241
NRU,Transport services (% of commercial service exports),7.151637377
NRU,Travel services (% of commercial service exports),20.684301
NRU,Insurance and financial services (% of commercial service exports),0
NRU,"Computer, communications and other services (% of commercial service exports)",72.16406162
NPL,Transport services (% of commercial service exports),2.722819834
NPL,Travel services (% of commercial service exports),44.324217
NPL,Insurance and financial services (% of commercial service exports),0.333445492
NPL,"Computer, communications and other services (% of commercial service exports)",52.61951767
NLD,Transport services (% of commercial service exports),19.05046554
NLD,Travel services (% of commercial service exports),9.460796083
NLD,Insurance and financial services (% of commercial service exports),4.708520165
NLD,"Computer, communications and other services (% of commercial service exports)",66.78021821
NLD,Chemicals (% of value added in manufacturing),15.20652107
NLD,"Food, beverages and tobacco (% of value added in manufacturing)",19.45607119
NLD,Machinery and transport equipment (% of value added in manufacturing),30.62539157
NLD,Other manufacturing (% of value added in manufacturing),32.93533446
NLD,Textiles and clothing (% of value added in manufacturing),1.776681706
NCL,Transport services (% of commercial service exports),32.29898408
NCL,Travel services (% of commercial service exports),46.49803367
NCL,Insurance and financial services (% of commercial service exports),0.393272516
NCL,"Computer, communications and other services (% of commercial service exports)",20.80970973
NZL,Transport services (% of commercial service exports),14.62871113
NZL,Travel services (% of commercial service exports),59.57037083
NZL,Insurance and financial services (% of commercial service exports),4.01530871
NZL,"Computer, communications and other services (% of commercial service exports)",21.78560933
NZL,Chemicals (% of value added in manufacturing),5.580561807
NZL,"Food, beverages and tobacco (% of value added in manufacturing)",34.79203134
NZL,Machinery and transport equipment (% of value added in manufacturing),12.38226223
NZL,Other manufacturing (% of value added in manufacturing),44.70284238
NZL,Textiles and clothing (% of value added in manufacturing),2.542302242
NIC,Transport services (% of commercial service exports),4.161776654
NIC,Travel services (% of commercial service exports),40.22749842
NIC,Insurance and financial services (% of commercial service exports),0.49652433
NIC,"Computer, communications and other services (% of commercial service exports)",55.1142006
NER,Transport services (% of commercial service exports),7.060023262
NER,Travel services (% of commercial service exports),33.05333128
NER,Insurance and financial services (% of commercial service exports),1.152656859
NER,"Computer, communications and other services (% of commercial service exports)",58.7339886
NER,"Food, beverages and tobacco (% of value added in manufacturing)",41.84442259
NER,Other manufacturing (% of value added in manufacturing),48.54600764
NER,Textiles and clothing (% of value added in manufacturing),9.609569772
NGA,Transport services (% of commercial service exports),51.37026789
NGA,Travel services (% of commercial service exports),36.0299565
NGA,Insurance and financial services (% of commercial service exports),2.407877208
NGA,"Computer, communications and other services (% of commercial service exports)",10.1918984
MKD,Transport services (% of commercial service exports),24.0125267
MKD,Travel services (% of commercial service exports),17.09204822
MKD,Insurance and financial services (% of commercial service exports),0.255602255
MKD,"Computer, communications and other services (% of commercial service exports)",58.63982283
MKD,Chemicals (% of value added in manufacturing),6.901683886
MKD,"Food, beverages and tobacco (% of value added in manufacturing)",25.95400031
MKD,Machinery and transport equipment (% of value added in manufacturing),13.40532683
MKD,Other manufacturing (% of value added in manufacturing),32.61685963
MKD,Textiles and clothing (% of value added in manufacturing),21.12212935
NOR,Transport services (% of commercial service exports),45.97169312
NOR,Travel services (% of commercial service exports),11.31758178
NOR,Insurance and financial services (% of commercial service exports),5.557914998
NOR,"Computer, communications and other services (% of commercial service exports)",37.1528101
NOR,Chemicals (% of value added in manufacturing),6.540429759
NOR,"Food, beverages and tobacco (% of value added in manufacturing)",18.69240054
NOR,Machinery and transport equipment (% of value added in manufacturing),33.74282973
NOR,Other manufacturing (% of value added in manufacturing),39.73690499
NOR,Textiles and clothing (% of value added in manufacturing),1.287434984
OMN,Transport services (% of commercial service exports),37.05365773
OMN,Travel services (% of commercial service exports),43.93169502
OMN,Insurance and financial services (% of commercial service exports),1.547805272
OMN,"Computer, communications and other services (% of commercial service exports)",17.46684197
OMN,Chemicals (% of value added in manufacturing),10.86313755
OMN,"Food, beverages and tobacco (% of value added in manufacturing)",4.674910133
OMN,Machinery and transport equipment (% of value added in manufacturing),2.618020674
OMN,Other manufacturing (% of value added in manufacturing),81.57235933
OMN,Textiles and clothing (% of value added in manufacturing),0.271572307
PAK,Transport services (% of commercial service exports),38.62612613
PAK,Travel services (% of commercial service exports),7.939189189
PAK,Insurance and financial services (% of commercial service exports),5.489864865
PAK,"Computer, communications and other services (% of commercial service exports)",47.94481982
PLW,Transport services (% of commercial service exports),2.907305744
PLW,Travel services (% of commercial service exports),92.32589345
PLW,Insurance and financial services (% of commercial service exports),0.495583338
PLW,"Computer, communications and other services (% of commercial service exports)",4.271217472
PAN,Transport services (% of commercial service exports),48.13765968
PAN,Travel services (% of commercial service exports),32.90105159
PAN,Insurance and financial services (% of commercial service exports),9.788975933
PAN,"Computer, communications and other services (% of commercial service exports)",9.172312796
PAN,Chemicals (% of value added in manufacturing),4.591236777
PAN,"Food, beverages and tobacco (% of value added in manufacturing)",56.56240737
PAN,Machinery and transport equipment (% of value added in manufacturing),2.450287682
PAN,Other manufacturing (% of value added in manufacturing),32.20522807
PAN,Textiles and clothing (% of value added in manufacturing),4.190840098
PNG,Transport services (% of commercial service exports),11.16659201
PNG,Travel services (% of commercial service exports),1.544694078
PNG,Insurance and financial services (% of commercial service exports),9.352131837
PNG,"Computer, communications and other services (% of commercial service exports)",77.93658208
PRY,Transport services (% of commercial service exports),47.2667354
PRY,Travel services (% of commercial service exports),34.98338001
PRY,Insurance and financial services (% of commercial service exports),3.690127524
PRY,"Computer, communications and other services (% of commercial service exports)",14.05975706
PER,Transport services (% of commercial service exports),25.0670216
PER,Travel services (% of commercial service exports),55.90775032
PER,Insurance and financial services (% of commercial service exports),11.04995842
PER,"Computer, communications and other services (% of commercial service exports)",7.975269662
PER,Chemicals (% of value added in manufacturing),7.683005177
PER,"Food, beverages and tobacco (% of value added in manufacturing)",25.14266279
PER,Machinery and transport equipment (% of value added in manufacturing),5.79721099
PER,Other manufacturing (% of value added in manufacturing),51.29435773
PER,Textiles and clothing (% of value added in manufacturing),10.08276331
PHL,Transport services (% of commercial service exports),7.356513441
PHL,Travel services (% of commercial service exports),19.73878337
PHL,Insurance and financial services (% of commercial service exports),1.251199386
PHL,"Computer, communications and other services (% of commercial service exports)",71.6535038
PHL,Chemicals (% of value added in manufacturing),7.472426057
PHL,"Food, beverages and tobacco (% of value added in manufacturing)",32.23308132
PHL,Machinery and transport equipment (% of value added in manufacturing),34.79359136
PHL,Other manufacturing (% of value added in manufacturing),22.40730823
PHL,Textiles and clothing (% of value added in manufacturing),3.093593034
POL,Transport services (% of commercial service exports),27.29325315
POL,Travel services (% of commercial service exports),24.31905417
POL,Insurance and financial services (% of commercial service exports),2.144953714
POL,"Computer, communications and other services (% of commercial service exports)",46.24273897
POL,Chemicals (% of value added in manufacturing),7.104337448
POL,"Food, beverages and tobacco (% of value added in manufacturing)",16.92065646
POL,Machinery and transport equipment (% of value added in manufacturing),23.71750408
POL,Other manufacturing (% of value added in manufacturing),49.06479452
POL,Textiles and clothing (% of value added in manufacturing),3.19270749
PRT,Transport services (% of commercial service exports),24.65821244
PRT,Travel services (% of commercial service exports),44.90132229
PRT,Insurance and financial services (% of commercial service exports),1.86338673
PRT,"Computer, communications and other services (% of commercial service exports)",28.57707854
PRT,Chemicals (% of value added in manufacturing),5.924752716
PRT,"Food, beverages and tobacco (% of value added in manufacturing)",18.12432692
PRT,Machinery and transport equipment (% of value added in manufacturing),16.39579542
PRT,Other manufacturing (% of value added in manufacturing),43.49849345
PRT,Textiles and clothing (% of value added in manufacturing),16.05663149
QAT,Transport services (% of commercial service exports),50.32258065
QAT,Travel services (% of commercial service exports),35.94193548
QAT,Insurance and financial services (% of commercial service exports),6.756989247
QAT,"Computer, communications and other services (% of commercial service exports)",6.978494624
QAT,Chemicals (% of value added in manufacturing),66.07258881
QAT,"Food, beverages and tobacco (% of value added in manufacturing)",0.9166404
QAT,Machinery and transport equipment (% of value added in manufacturing),0.361329757
QAT,Other manufacturing (% of value added in manufacturing),31.5787567
QAT,Textiles and clothing (% of value added in manufacturing),1.070684331
ROU,Transport services (% of commercial service exports),29.24896809
ROU,Travel services (% of commercial service exports),9.644886754
ROU,Insurance and financial services (% of commercial service exports),1.986565031
ROU,"Computer, communications and other services (% of commercial service exports)",59.11958012
ROU,Chemicals (% of value added in manufacturing),5.017186908
ROU,"Food, beverages and tobacco (% of value added in manufacturing)",13.51984758
ROU,Machinery and transport equipment (% of value added in manufacturing),30.33748193
ROU,Other manufacturing (% of value added in manufacturing),40.31553546
ROU,Textiles and clothing (% of value added in manufacturing),10.80994812
RUS,Transport services (% of commercial service exports),31.69178239
RUS,Travel services (% of commercial service exports),18.14168201
RUS,Insurance and financial services (% of commercial service exports),3.073484097
RUS,"Computer, communications and other services (% of commercial service exports)",47.09305151
RUS,Chemicals (% of value added in manufacturing),10.4515255
RUS,"Food, beverages and tobacco (% of value added in manufacturing)",15.26455433
RUS,Machinery and transport equipment (% of value added in manufacturing),10.04887733
RUS,Other manufacturing (% of value added in manufacturing),62.48631123
RUS,Textiles and clothing (% of value added in manufacturing),1.748731601
RWA,Transport services (% of commercial service exports),19.6350029
RWA,Travel services (% of commercial service exports),76.37378322
RWA,"Computer, communications and other services (% of commercial service exports)",3.991213877
WSM,Transport services (% of commercial service exports),4.124518753
WSM,Travel services (% of commercial service exports),73.98389465
WSM,Insurance and financial services (% of commercial service exports),3.338632486
WSM,"Computer, communications and other services (% of commercial service exports)",18.55295411
STP,Transport services (% of commercial service exports),0.243513485
STP,Travel services (% of commercial service exports),80.50781282
STP,Insurance and financial services (% of commercial service exports),0
STP,"Computer, communications and other services (% of commercial service exports)",19.24867369
SAU,Transport services (% of commercial service exports),24.12917954
SAU,Travel services (% of commercial service exports),68.87355012
SAU,Insurance and financial services (% of commercial service exports),3.234791241
SAU,"Computer, communications and other services (% of commercial service exports)",3.762479102
SAU,Chemicals (% of value added in manufacturing),26.57900902
SAU,"Food, beverages and tobacco (% of value added in manufacturing)",12.11191729
SAU,Machinery and transport equipment (% of value added in manufacturing),4.602317005
SAU,Other manufacturing (% of value added in manufacturing),53.0589972
SAU,Textiles and clothing (% of value added in manufacturing),3.647759483
SEN,Transport services (% of commercial service exports),12.90544276
SEN,Travel services (% of commercial service exports),36.3348906
SEN,Insurance and financial services (% of commercial service exports),2.337876454
SEN,"Computer, communications and other services (% of commercial service exports)",48.42179018
