CountryCode,ServicesType,PercentOfExportedServices
BDI,Insurance and financial services (% of commercial service exports),11.34798173
BDI,"Computer, communications and other services (% of commercial service exports)",66.47541712
BDI,Chemicals (% of value added in manufacturing),2.789203809
BDI,"Food, beverages and tobacco (% of value added in manufacturing)",87.62715093
BDI,Other manufacturing (% of value added in manufacturing),8.975091699
BDI,Textiles and clothing (% of value added in manufacturing),0.608553558
CPV,Transport services (% of commercial service exports),19.03550603
CPV,Travel services (% of commercial service exports),67.02725236
CPV,Insurance and financial services (% of commercial service exports),1.398982568
CPV,"Computer, communications and other services (% of commercial service exports)",12.53825904
KHM,Transport services (% of commercial service exports),10.56425301
KHM,Travel services (% of commercial service exports),79.52398134
KHM,Insurance and financial services (% of commercial service exports),0.686971548
KHM,"Computer, communications and other services (% of commercial service exports)",9.224794095
CMR,Transport services (% of commercial service exports),31.35446836
CMR,Travel services (% of commercial service exports),30.67113954
CMR,Insurance and financial services (% of commercial service exports),5.490384014
CMR,"Computer, communications and other services (% of commercial service exports)",32.48400808
CAN,Transport services (% of commercial service exports),15.03167277
CAN,Travel services (% of commercial service exports),23.5962197
CAN,Insurance and financial services (% of commercial service exports),10.64114897
CAN,"Computer, communications and other services (% of commercial service exports)",50.73095856
CAN,Chemicals (% of value added in manufacturing),9.692689855
CAN,"Food, beverages and tobacco (% of value added in manufacturing)",16.69669794
CAN,Machinery and transport equipment (% of value added in manufacturing),26.04411316
CAN,Other manufacturing (% of value added in manufacturing),46.29563421
CAN,Textiles and clothing (% of value added in manufacturing),1.270864833
CHL,Transport services (% of commercial service exports),45.52973676
CHL,Travel services (% of commercial service exports),22.01670156
CHL,Insurance and financial services (% of commercial service exports),3.895141786
CHL,"Computer, communications and other services (% of commercial service exports)",28.55841989
CHL,Chemicals (% of value added in manufacturing),3.388351243
CHL,"Food, beverages and tobacco (% of value added in manufacturing)",39.14131681
CHL,Machinery and transport equipment (% of value added in manufacturing),12.08745399
CHL,Other manufacturing (% of value added in manufacturing),43.18220277
