CountryCode,Chemicals (% of value added in manufacturing),"Computer, communications and other services (% of commercial service exports)","Food, beverages and tobacco (% of value added in manufacturing)",Insurance and financial services (% of commercial service exports),Machinery and transport equipment (% of value added in manufacturing),Other manufacturing (% of value added in manufacturing),Textiles and clothing (% of value added in manufacturing),Transport services (% of commercial service exports),Travel services (% of commercial service exports)
KHM,,9.224794095,,0.686971548,,,,10.56425301,79.52398134
KIR,,37.00755849,,12.49013713,,,,21.30048818,29.20181619
KNA,,7.580755328,,5.054682873,,,,3.223387762,84.14117404
KOR,10.35314068,47.7864193,6.394729081,2.016121751,48.62532854,31.08632504,3.540476661,34.43342735,15.76403159
KWT,21.64431564,54.39170266,6.396694248,9.799135218,1.800122806,67.25901391,2.899853393,29.31199991,6.497162215
LAC,,25.74394702,,8.822888822,,,,14.30564019,51.13808532
LAO,2.266771382,5.628285509,33.35607739,1.642859614,0.917711837,47.74101739,15.718422,7.599651891,85.12920299
LBN,,33.26382999,32.32002779,13.58418524,,62.28652306,5.393449148,8.742133629,44.40985114
LBR,,-4.82E-12,,100,,,,,
LBY,,17.17171717,,41.16161616,,,,41.66666667,
LCA,,3.123971581,,0.652662987,,,,1.787927735,94.4354377
LCN,,25.7870925,,8.296232628,,,,17.51411497,48.41395569
LDC,,21.60722316,,6.079849515,,,,14.71578427,57.77964385
LIC,,22.15617013,,14.41943532,,,,26.12934577,37.97779407
LKA,4.478506222,15.22558589,36.06810738,6.654015745,1.908196987,23.37917567,34.16601374,34.503559,43.61683937
LMC,,45.67407608,,3.625549468,,,,23.3766404,27.32428831
LMY,,41.83246718,,4.871872119,,,,20.13643298,33.52067927
LSO,,31.7117279,,0.152497175,,,,6.891014002,61.24476093
LTE,,48.18657502,,4.144479346,,,,21.77332834,25.90620645
LTU,8.313579819,19.42099907,21.19458891,1.264195106,12.82015557,49.07745624,8.594219464,61.47014967,17.84465616
LUX,2.968099941,28.89555407,10.78660563,60.64278437,15.28432693,70.96096751,,5.28773875,5.173922807
LVA,2.250285771,26.58606348,19.78896365,10.24480936,15.17937169,57.75106976,5.030309137,45.59728778,17.57183938
MAC,,1.506533773,30.01208967,2.604281029,,58.18609939,11.80181094,1.385738741,94.50344646
MAR,,32.50014786,28.80187348,1.277113289,,62.90498534,8.293141177,19.49858123,46.72415762
MDA,4.890033508,42.29868639,44.0534388,0.664490873,7.482201957,32.10866063,11.4656651,35.919574,21.11724874
MDG,,15.83950114,,0.211596251,,,,32.45102075,51.49788186
MDV,0.041928265,2.712815926,1.799874497,0,2.591396367,74.45991682,21.10688405,7.171922512,90.11526156
MEA,,24.46500109,,7.644208591,,,,27.18083089,
MEX,10.08387767,1.343571992,23.71174632,17.49635504,27.22100892,35.98797491,2.995392174,4.120016025,77.04005695
MHL,,13.16954139,,,,,,38.41072333,48.41973528
MIC,,42.06716815,,4.75860954,,,,20.06617395,33.46715833
MKD,6.901683886,58.63982283,25.95400031,0.255602255,13.40532683,32.61685963,21.12212935,24.0125267,17.09204822
MLI,,45.02453159,,1.6624519,,,,0.95361658,52.35939993
MLT,6.272901762,54.02557092,,30.17569212,0.355522596,91.01432996,2.357245681,4.383981876,11.41475508
MMR,,34.3305052,,0.193392687,,,,13.32901188,52.14709024
MNA,,31.82070448,,11.55449719,,,,26.32541397,
MNE,3.426839359,16.13625534,41.47582239,0.402251354,12.29026796,40.69090426,2.116166031,17.12267209,66.33882121
MNG,3.159535509,30.02959209,26.31736955,0.577225517,1.418336631,50.67982595,18.42493236,33.84974818,35.54343421
MOZ,,11.80708497,,0.019647244,,,,59.66659797,28.50666982
MRT,,70.88256486,,1.124911918,,,,13.68775317,14.30477005
MUS,,31.10024687,39.93952851,5.149527777,4.530637313,21.3776161,34.15221808,12.91291266,50.8373127
MWI,,30.4511238,,18.13116535,,,,20.20806461,31.20964624
MYS,9.083637002,32.85838319,14.08763224,1.924816236,31.05558519,44.03964087,1.733504703,11.37177966,53.84502091
NAC,,45.83794539,,16.96473608,,,,12.9390053,24.25831323
NAM,7.348910061,28.68257136,40.85628508,3.045000337,,46.06448245,5.73032241,13.42354139,54.84888692
NCL,,20.80970973,,0.393272516,,,,32.29898408,46.49803367
NER,,58.7339886,41.84442259,1.152656859,,48.54600764,9.609569772,7.060023262,33.05333128
NGA,,10.1918984,,2.407877208,,,,51.37026789,36.0299565
NIC,,55.1142006,,0.49652433,,,,4.161776654,40.22749842
NLD,15.20652107,66.78021821,19.45607119,4.708520165,30.62539157,32.93533446,1.776681706,19.05046554,9.460796083
NOR,6.540429759,37.1528101,18.69240054,5.557914998,33.74282973,39.73690499,1.287434984,45.97169312,11.31758178
NPL,,52.61951767,,0.333445492,,,,2.722819834,44.324217
NRU,,72.16406162,,0,,,,7.151637377,20.684301
NZL,5.580561807,21.78560933,34.79203134,4.01530871,12.38226223,44.70284238,2.542302242,14.62871113,59.57037083
OED,,46.94045168,,10.51470536,,,,19.36926727,23.1755757
OMN,10.86313755,17.46684197,4.674910133,1.547805272,2.618020674,81.57235933,0.271572307,37.05365773,43.93169502
OSS,,19.60356368,,11.54369841,,,,37.34065225,32.26361908
PAK,,47.94481982,,5.489864865,,,,38.62612613,7.939189189
PAN,4.591236777,9.172312796,56.56240737,9.788975933,2.450287682,32.20522807,4.190840098,48.13765968,32.90105159
PER,7.683005177,7.975269662,25.14266279,11.04995842,5.79721099,51.29435773,10.08276331,25.0670216,55.90775032
PHL,7.472426057,71.6535038,32.23308132,1.251199386,34.79359136,22.40730823,3.093593034,7.356513441,19.73878337
PLW,,4.271217472,,0.495583338,,,,2.907305744,92.32589345
PNG,,77.93658208,,9.352131837,,,,11.16659201,1.544694078
POL,7.104337448,46.24273897,16.92065646,2.144953714,23.71750408,49.06479452,3.19270749,27.29325315,24.31905417
PRE,,20.59226875,,4.395730109,,,,25.44066756,49.64356211
PRT,5.924752716,28.57707854,18.12432692,1.86338673,16.39579542,43.49849345,16.05663149,24.65821244,44.90132229
PRY,,14.05975706,,3.690127524,,,,47.2667354,34.98338001
