Country Name,Country Code,Year,GDP,Agriculture,Industry,Manufacturing,Services
Maldives,MDV,2014,"3,697,351,596.84",5.31,8.41,1.98,75.41
Mali,MLI,2014,"14,365,345,530.02",37.46,18.38,2.53,37.31
Malta,MLT,2014,"11,302,344,157.04",1.14,13.61,8.69,73.07
Marshall Islands,MHL,2014,"184,689,500.00",11.58,14.17,5.69,70.54
Mauritania,MRT,2014,"6,592,537,781.82",18.81,28.44,7.41,44.36
Mauritius,MUS,2014,"12,803,445,933.59",3.26,19.83,13.59,65.67
Mexico,MEX,2014,"1,314,563,967,425.20",3.13,31.5,15.9,60.19
"Micronesia, Fed. Sts.",FSM,2014,"319,271,200.00",24.9,6.03,0.37,64
Moldova,MDA,2014,"9,510,219,299.50",12.22,22.35,11.6,52.28
Monaco,MCO,2014,"7,069,616,048.89",,12.63,,87.37
Mongolia,MNG,2014,"12,226,514,722.09",13.34,31.5,8.78,45.82
Montenegro,MNE,2014,"4,594,024,179.62",8.1,14.3,3.88,58.55
Morocco,MAR,2014,"110,081,248,587.37",11.66,26.49,16.49,51.62
Mozambique,MOZ,2014,"17,716,084,107.59",23.93,17.33,8.03,47.96
Myanmar,MMR,2014,"65,446,199,787.84",27.83,34.49,19.93,37.68
Namibia,NAM,2014,"12,356,482,878.20",7.73,26.58,9.76,58.11
Nauru,NRU,2014,"104,654,365.19",3.53,24.53,18.04,70.88
Nepal,NPL,2014,"20,002,968,837.95",30.27,13.83,5.75,48.65
Netherlands,NLD,2014,"890,981,311,077.66",1.74,18.41,10.36,69.91
New Caledonia,NCL,2014,,,,,
New Zealand,NZL,2014,"200,921,936,786.22",4.79,21.44,11.07,65.4
Nicaragua,NIC,2014,"11,880,472,593.22",16.71,25.1,14.73,48.55
Niger,NER,2014,"10,815,312,544.11",33.73,22.4,7.18,37.95
Nigeria,NGA,2014,"568,498,937,615.66",19.99,24.64,9.64,54.15
North Macedonia,MKD,2014,"11,362,272,837.88",10.18,22.82,10.95,53.83
Northern Mariana Islands,MNP,2014,"845,000,000.00",,,,
Norway,NOR,2014,"498,410,050,251.26",1.44,34.03,6.81,53.95
Oman,OMN,2014,"81,076,462,938.88",1.27,64.12,49.9,38.85
Pakistan,PAK,2014,"244,360,888,750.81",23.74,20.03,13.54,51.7
Palau,PLW,2014,"243,147,000.00",3.33,7.53,1,78.1
Panama,PAN,2014,"49,921,500,000.00",2.85,26.63,6.61,66.57
Papua New Guinea,PNG,2014,"23,210,682,538.39",17.69,32.78,2.13,44.48
Paraguay,PRY,2014,"40,276,532,540.88",11.68,33.69,18.81,47.1
Peru,PER,2014,"200,789,362,451.57",6.8,31.7,13.96,52.39
Philippines,PHL,2014,"297,483,553,299.47",12.27,31.05,20.58,56.68
Poland,POL,2014,"545,389,126,644.48",2.61,29.43,16.77,56.64
Portugal,PRT,2014,"229,596,170,846.99",2.08,18.94,11.79,66.32
Puerto Rico,PRI,2014,"102,445,800,000.00",0.85,49.93,46.73,48.99
Qatar,QAT,2014,"206,224,725,274.73",0.12,69.76,10.14,32.85
Romania,ROU,2014,"199,626,806,401.53",4.72,31.61,20.98,52.18
Russian Federation,RUS,2014,"2,059,241,965,490.80",3.36,27.93,11.34,55.68
Rwanda,RWA,2014,"8,279,481,014.99",24.59,17.73,6.9,49.18
Samoa,WSM,2014,"756,919,917.33",9.45,18.55,8.9,72.01
San Marino,SMR,2014,"1,673,973,694.70",,,,
Sao Tome and Principe,STP,2014,"348,941,715.76",11.66,16.61,6.47,69.44
Saudi Arabia,SAU,2014,"756,350,347,333.33",2.23,57.18,10.8,40.53
Senegal,SEN,2014,"19,797,254,643.12",13.37,23.15,17,53.61
Serbia,SRB,2014,"47,062,205,546.50",7.07,25.24,14.96,51.69
Seychelles,SYC,2014,"1,343,007,841.38",2.37,12.15,6.5,69.12
Sierra Leone,SLE,2014,"5,015,157,815.73",51.79,15.61,1.53,29.83
Singapore,SGP,2014,"314,851,156,183.41",0.03,24.17,18,70.34
Sint Maarten (Dutch part),SXM,2014,,0.11,10.73,0.92,79.64
Slovak Republic,SVK,2014,"101,171,217,100.82",3.23,30.8,19.26,56.25
