Country,CountryCode,Female researchers as a percentage of total researchers (FTE) - Agricultural and veterinary sciences,Female researchers as a percentage of total researchers (FTE) - Business enterprise,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,Female researchers as a percentage of total researchers (FTE) - Government,Female researchers as a percentage of total researchers (FTE) - Higher education,Female researchers as a percentage of total researchers (FTE) - Humanities and the arts,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,Female researchers as a percentage of total researchers (FTE) - Natural sciences,Female researchers as a percentage of total researchers (FTE) - Natural sciences and engineering (sub-total),Female researchers as a percentage of total researchers (FTE) - Not specified fields,Female researchers as a percentage of total researchers (FTE) - Private non-profit,Female researchers as a percentage of total researchers (FTE) - Social sciences,Female researchers as a percentage of total researchers (FTE) - Social sciences and humanities (sub-total),Female researchers as a percentage of total researchers (HC) - 25-34 years,Female researchers as a percentage of total researchers (HC) - 35-44 years,Female researchers as a percentage of total researchers (HC) - 45-54 years,Female researchers as a percentage of total researchers (HC) - 55-64 years,Female researchers as a percentage of total researchers (HC) - 65 years and more,Female researchers as a percentage of total researchers (HC) - Under 25 years,GERD - Agricultural and veterinary sciences %,GERD - Agricultural and veterinary sciences (in 000 current PPP$),GERD - Applied research %,GERD - Applied research (in 000 current PPP$),GERD - Basic research %,GERD - Basic research (in 000 current PPP$),GERD - Engineering and technology %,GERD - Engineering and technology (in 000 current PPP$),GERD - Experimental development %,GERD - Experimental development (in 000 current PPP$),GERD - financed by Business enterprise %,GERD - financed by Government %,GERD - financed by Higher education %,GERD - financed by Not specified source %,GERD - financed by Private non-profit %,GERD - financed by Rest of the world (abroad) %,GERD - Humanities and the arts %,GERD - Humanities and the arts (in 000 current PPP$),GERD - Medical and health sciences %,GERD - Medical and health sciences (in 000 current PPP$),GERD - Natural sciences %,GERD - Natural sciences (in 000 current PPP$),GERD - Natural sciences and engineering (sub-total) %,GERD - Natural sciences and engineering (sub-total) (in 000 current PPP$),GERD - Not specified activities %,GERD - Not specified activities (in 000 current PPP$),GERD - Not specified fields %,GERD - Not specified fields (in 000 current PPP$),GERD - performed by business enterprise %,GERD - performed by business enterprise as a percentage of GDP,GERD - performed by government %,GERD - performed by government as a percentage of GDP,GERD - performed by higher education %,GERD - performed by higher education as a percentage of GDP,GERD - performed by Not specified sectors %,GERD - performed by private non-profit %,GERD - performed by private non-profit as a percentage of GDP,GERD - Social sciences %,GERD - Social sciences (in 000 current PPP$),GERD - Social sciences and humanities (sub-total) %,GERD - Social sciences and humanities (sub-total) (in 000 current PPP$),GERD per capita (in current PPP$),"GERD per researcher, FTE (in 000 current PPP$)",Other supporting staff as a percentage of total R&D personnel (HC),Researchers (FTE) - % Female,Researchers (FTE) - Agricultural and veterinary sciences %,Researchers (FTE) - Business enterprise %,Researchers (FTE) - Engineering and technology %,Researchers (FTE) - Government %,Researchers (FTE) - Higher education %,Researchers (FTE) - Humanities and the arts %,Researchers (FTE) - Medical and health sciences %,Researchers (FTE) - Natural sciences %,Researchers (FTE) - Natural sciences and engineering (sub-total) %,Researchers (FTE) - Not specified fields %,Researchers (FTE) - Not specified sectors %,Researchers (FTE) - Private non-profit %,Researchers (FTE) - Social sciences %,Researchers (FTE) - Social sciences and humanities (sub-total) %,Researchers (HC) - 25-34 years %,Researchers (HC) - 35-44 years %,Researchers (HC) - 45-54 years %,Researchers (HC) - 55-64 years %,Researchers (HC) - 65 years and more %,Researchers (HC) - Category A %,Researchers (HC) - Category B %,Researchers (HC) - Category C %,Researchers (HC) - Category D %,Researchers (HC) - Not specified age groups %,Researchers (HC) - Under 25 years %,Researchers as a percentage of total R&D personnel (HC),Researchers per million inhabitants (FTE),Technicians (FTE) - % Female,Technicians as a percentage of total R&D personnel (HC),Technicians per million inhabitants (FTE),Total R&D personnel (FTE) - % Female,Total R&D personnel per million inhabitants (FTE),Count
Qatar,QAT,26.13636,21.71893,15.22602,40.80717,32.03268,36.50086,39.95939,32.65395,26.20311,36.79822,,45.03629,41.62293,,,,,,,1.42712,25494.73489,46.38609,828660.257,44.83904,801023.1159,20.10448,359154.8545,8.77487,156757.9289,9.25402,32.40921,45.12103,0.03486,12.67492,0.50596,17.68571,315944.9595,15.14566,270568.4731,14.28703,255229.5096,50.96429,910447.5721,,,,,12.1504,0.06164,15.88799,0.0806,71.9616,0.36505,,,,31.35001,560049.7779,49.03571,875994.7374,642.21586,1112.35386,16.61123,32.01868,1.09589,16.08344,29.95953,18.74533,65.17123,12.00436,20.54545,7.17933,58.7802,11.20174,,,18.0137,30.01806,,,,,,,,,,,,60.75132,577.34853,44.0612,22.63745,397.09787,41.96616,1199.25642,1
Republic of Korea,KOR,,,,,,,,,,,,,,,,,,,,1.92422,1917013.282,21.95847,21876274.66,14.20815,14154969.18,73.06572,72792223.76,63.83338,63594438.09,76.64033,20.53457,0.57556,,0.30977,1.93977,1.4194,1414087.419,4.62039,4603094.005,16.92488,16861522.48,96.5352,96173853.53,,,,,80.29332,3.86218,10.07387,0.48456,8.2241,0.39559,,1.40871,0.06776,2.0454,2037740.98,3.4648,3451828.397,1946.88999,243.95908,8.25876,,,81.98672,,6.7008,9.97525,,,,,,,1.33722,,,,,,,,,,,,,,74.40309,7980.39565,,17.33815,1311.43521,,9793.97732,1
Republic of Moldova,MDA,51.6129,13.72549,21.36223,51.68788,51.3834,52.75591,56.49351,51.89189,47.39062,,,57.77778,55.53603,54.49541,57.44681,57.11501,46.20355,30.81312,61.53846,16.32611,10776.77137,,,,,20.28896,13392.62485,,,15.50052,76.71827,2.82766,,,4.95356,6.91434,4564.11935,11.18679,7384.33639,36.9453,24387.38401,84.74716,55941.11661,,,,,17.50258,0.04463,70.85655,0.18067,11.64087,0.02968,,,,8.33849,5504.1917,15.25284,10068.31105,18.63248,26.76781,25.61222,49.27007,13.82806,6.20438,13.09813,73.27656,20.51906,10.30008,12.48986,37.51014,76.9262,,,,12.77372,23.0738,17.84545,20.00655,16.79764,20.2685,22.9535,,,,,,2.12836,68.61379,696.07769,64.01869,5.77398,60.40577,51.1254,1053.43144,1
Romania,ROU,52.31214,36.42266,39.66922,49.14189,50.63153,44.33657,64.43836,47.44561,45.90081,,31.25,58.52982,50.54612,,,,,,,4.50716,118315.0171,61.96521,1626615.32,19.32296,507236.6136,66.19072,1737536.941,18.71183,491194.1777,54.40442,35.93045,1.70092,,0.04169,7.92252,1.77631,46629.04895,5.66074,148596.9923,20.63387,541648.5294,96.99249,2546097.479,,,,,59.34235,0.29974,30.62982,0.15471,9.80699,0.04954,,0.22083,,1.2312,32319.58283,3.00751,78948.63178,142.23599,161.18466,25.02846,46.32949,9.87612,26.9738,46.94297,38.32568,33.88137,5.292,10.41845,23.35446,90.592,,,0.81915,4.116,9.408,,,,,,,,,,,,61.08569,882.44127,40.82117,13.88585,278.82409,44.74007,1637.07646,1
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,1.68578,675964.1439,19.19421,7436336.407,14.04566,5441654.377,72.06762,28897666.03,59.33955,22989682.44,29.48893,67.03352,0.85986,,0.26852,2.34917,1.53911,617153.6255,4.04033,1620091.149,17.64203,7074096.964,95.43576,38267818.29,7.42057,2874922.787,,,55.59294,0.5503,34.43118,0.34083,9.67646,0.09579,,0.29941,,3.02513,1213015.199,4.56424,1830168.825,275.14497,98.81901,40.58191,,,44.19033,,35.62296,19.88259,,,,,,,0.30411,,,,,,,,,,,,,,50.96165,2784.33237,,8.45644,437.83869,,5204.42589,1
Rwanda,RWA,30.20605,20.97669,17.37048,36.47113,14.32565,32.04173,21.98853,18.33467,21.36076,29.50437,32.60632,37.37333,36.73506,29.12621,21.69492,18.60465,18.75,,50,,,,,,,,,,,0.62894,64.54434,0.39348,,0.69269,33.74054,,,,,,,,,,,,,6.832,0.04552,77.76257,0.51811,7.88081,0.05251,,7.52462,0.05013,,,,,13.1807,950.92919,4.15512,27.53802,14.10811,5.57274,14.20708,53.3523,35.40327,4.15017,3.23478,23.17541,54.72538,10.60737,,5.6717,30.51707,34.66724,19.43396,55.66038,16.22642,6.03774,1.13208,,,,,0.75472,0.75472,73.4072,13.86086,16.33879,22.43767,5.70666,25.02671,20.05257,1
Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,4.1,514144.9414,,,,,30.7,3849817,,,,,,,,,12.5,1567515.065,11.4,1429573.739,35.3,4426662.544,81.5,10220198.23,,,4.8,601925.785,,,,,,,,,,1.2,150481.4463,13.7,1717996.511,417.27991,,81.99599,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6978,,,13.30621,,,,1
Senegal,SEN,40.46332,,12.031,27.30697,30.22726,22.27209,37.7052,18.43391,23.52326,,36.01896,46.2395,36.31825,,,,,,,,,,,,,,,,,2.08604,85.44245,0.09892,,4.48406,7.88853,,,,,,,,,,,,,,,30.87311,0.1782,64.61759,0.37297,,4.5093,0.02603,,,,,18.50436,32.78942,8.69277,30.21927,1.57405,,9.88064,1.29084,98.19623,21.66594,14.06797,22.13511,47.65655,,,0.51293,30.67386,52.3398,64.16463,15.00523,8.12696,5.42728,0.14649,,,,,,7.1294,86.35542,564.33948,30.81784,4.95181,36.90376,30.03237,639.88931,1
Serbia,SRB,51.61378,40.45802,40.08242,61.20022,49.69021,57.0141,58.24923,58.3674,50.60255,,100,51.26024,53.34865,56.42431,54.01355,50.0404,43.73209,33.48837,50.9434,9.67854,108357.6926,37.16429,416078.9065,31.34417,350918.8011,38.72913,433598.2166,31.49153,352568.5495,10.02414,43.13515,25.25307,,0.02747,21.56017,5.51572,61752.14793,2.79613,31304.56041,30.00029,335873.117,81.20409,909133.5866,,,,,39.1049,0.36028,28.17196,0.25955,32.71726,0.30143,,0.00588,,13.28019,148680.5226,18.79591,210432.6705,160.77028,77.02607,16.22481,51.35914,7.58863,8.20164,27.88048,21.06034,70.73389,10.00007,12.74794,24.23133,72.44838,,,,17.55155,27.55162,25.8743,30.04379,22.90138,17.22075,2.65219,,,,,,1.30759,70.5803,2087.21892,50.74757,13.1949,412.03292,50.63876,2996.7127,1
Seychelles,SYC,,,,,,,,,,,,,,29.23077,34,30,66.66667,66.66667,80,,,,,,,,,,,1.98156,56.09276,4.47948,0.28013,3.21915,33.94691,,,,,,,,,,,,,,,88.23188,0.19554,4.74796,0.01052,,7.02017,0.01556,,,,,60.66523,,34.38914,,,,,,,,,,,,,,,,43.62416,33.55705,13.42282,4.02685,2.01342,,,,,,3.3557,33.71041,,,31.90045,,,,1
Singapore,SGP,,,,,,,,,,,,,,,,,,,,3.21257,338469.5076,31.43863,3312302.56,23.78586,2506024.106,62.60783,6596218.628,44.77562,4717457.173,52.22191,37.40163,3.28422,,,7.09223,,,18.98808,2000540.439,9.90495,1043563.1,94.71354,9978803.27,,,5.28646,556968.9742,59.69088,1.16057,10.96891,0.21327,29.34021,0.57046,,,,,,,,1845.77725,271.33659,8.1932,,2.46273,49.89094,59.62691,5.96812,44.14094,,17.76622,12.02674,91.88259,8.11741,,,,,,,,,,,,,,,,86.75781,6802.53716,,5.04899,377.36817,,7799.03333,1
Slovakia,SVK,49.82615,16.07963,22.61004,50.22668,45.57603,48.99292,59.10842,40.85463,33.54127,,25,53.83043,52.0832,43.36294,41.01201,47.61266,41.13508,29.42961,45.4878,4.80806,73950.72955,24.07454,370280.0239,40.11202,616945.6256,58.77339,903968.0979,35.81345,550831.1418,48.84686,38.00947,1.65964,,0.25155,11.23262,5.22327,80336.88074,4.81912,74120.72652,19.86145,305480.4565,88.26202,1357520.01,,,,,54.07532,0.45019,21.22467,0.1767,24.27588,0.2021,,0.42413,,6.51471,100199.9001,11.73798,180536.7808,282.05627,94.14561,6.19514,39.31566,6.09579,23.98237,41.03167,18.90188,56.79745,9.6556,8.66071,17.47863,73.26679,,,0.3183,17.07761,26.73321,33.22676,23.89736,15.28119,17.47828,6.75521,,,,,,3.36121,80.38859,2995.95783,32.54667,13.41627,520.62951,38.94316,3716.84357,1
Slovenia,SVN,54.36338,22.51172,17.86225,46.0719,43.56436,55.83575,62.04901,33.93238,28.49901,,34.78261,49.68283,52.62596,31.44638,33.04039,35.67953,29.88861,19.92337,22.4924,2.70799,37746.40448,43.96896,612877.8376,17.89588,249448.3806,47.68955,664738.7496,38.13517,531561.3175,63.14716,22.85193,0.45245,,0.44473,13.10372,3.47841,48485.1749,3.14661,43860.25873,40.07897,558655.8208,93.62314,1305001.234,,,,,74.19518,1.44103,13.55134,0.2632,11.91944,0.2315,,0.33404,0.00649,2.89832,40399.38983,6.37674,88884.56473,738.36345,152.09665,10.48061,30.93216,5.26055,62.09973,48.13951,16.46674,21.10637,4.81761,6.3174,30.21083,89.92829,,,0.32715,5.2541,10.07171,28.48214,33.94417,21.89786,11.47809,1.85382,,,,,,2.33681,64.01582,4854.56751,27.76745,25.50812,1814.20289,33.69129,7554.97183,1
Small Island Developing States,40344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.54528,234.90067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.45943,,,,,,1
Small Island Developing States,40550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.34374,231.10488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.56829,,,,,,1
South Africa,ZAF,,40.46555,,51.1742,44.33755,,,,,,59.63594,,,,,,,,,7.69625,491514.7446,53.25778,3401262.645,26.40172,1686123.081,16.77227,1071146.951,20.34051,1299029.181,41.49004,46.69431,0.18427,,1.46547,10.1659,2.29586,146623.4138,19.47132,1243519.475,30.08742,1921507.47,74.02728,4727689.135,,,,,40.95378,0.3408,22.30939,0.18565,33.5959,0.27957,,3.14092,0.02614,23.67686,1512102.523,25.97272,1658725.772,112.02319,216.37715,13.29544,44.42118,,18.57246,,9.11801,71.13691,,,,,,,1.17262,,,,,,,,,,,,,,73.39014,517.72191,41.90132,13.31442,129.50941,44.49957,776.34607,1
South and West Asia,40535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.37778,144.11218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.18297,,,,,,1
Spain,ESP,,31.2892,,47.87832,41.62346,,,,,,52.65625,,,,,,,,,,,41.16369,9028013.349,21.2666,4664187.577,,,37.5697,8239779.798,47.78603,38.90341,4.31941,,0.78488,8.20628,,,,,,,,,,,,,56.50341,0.69895,16.82724,0.20815,26.40171,0.32659,,0.26094,,,,,,494.08012,164.64468,11.88524,38.77782,,38.79532,,15.28832,45.68013,,,,,,,0.23623,,,,,,,,,,,,,,63.78036,3000.8872,39.35668,24.3344,1264.92042,40.026,4833.63002,1
Sri Lanka,LKA,46.74735,49.19679,35.30702,44.62659,45.42484,,45.36585,47.70492,44.2029,70.27027,62.5,49.71098,49.71098,38.64895,55.55556,48.45789,43.31066,40.92715,,31.46899,84869.05237,55.84883,150619.2896,14.01786,37804.91383,25.13252,67780.15293,30.13332,81266.85827,34.44136,59.63962,,2.1119,2.32527,1.48185,,,8.56092,23088.02522,26.632,71824.12555,91.79442,247561.3561,,,2.76375,7453.5966,33.63743,0.03657,34.12718,0.0371,31.88256,0.03466,,0.35282,,5.44182,14676.10905,5.44182,14676.10905,12.89882,121.70072,24.58193,45.93863,29.82852,22.47292,20.57762,49.54874,27.61733,,9.2509,27.52708,87.18412,5.00903,,0.36101,7.80686,7.80686,14.76214,18.68563,27.56253,21.62825,12.34265,,,,,5.0188,,50.3913,105.988,43.21383,25.02677,74.70815,40.06592,261.19155,1
Sub-Saharan Africa,40540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4474,147.53613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9245,,,,,,1
Sweden,SWE,,22.06277,,47.86167,43.99177,,,,,,50.76923,,,,,,,,,,,,,,,,,,,60.75663,25.01993,0.73618,,3.28743,10.08024,,,,,,,,,,,,,70.87858,2.3669,3.62549,0.12107,25.38277,0.84763,,0.11316,,,,,,1798.0421,238.57866,,28.64683,,72.8134,,4.92342,22.18999,,,,,,,0.07319,,,,,,,,,,,,,,81.22595,7536.47495,,,,31.17241,9227.27038,1
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,32.19931,6085658.322,41.69154,7879685.598,,,26.10915,4934619.537,67.03818,25.89426,1.3892,,0.45608,5.22227,,,,,,,,,,,,,69.39703,2.34067,0.81804,0.02759,27.57142,0.92995,,2.21351,0.07466,,,,,2235.14692,410.08621,18.79811,,,49.70706,,0.98703,49.30591,,,,,,,,,,,,,,,,,,,,,58.78074,5450.4318,,22.42116,2619.74154,,9668.08632,1
Syrian Arab Republic,SYR,35.75318,,33.05785,35.72816,34.84848,55.86207,26.06383,28.76106,32.45482,,,38.03681,46.42857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.25581,0.01504,26.74419,0.00549,,,,,,,,,,,35.12523,33.67971,,22.18826,31.45999,68.54001,8.86308,11.49144,13.81418,81.17359,,,,9.96333,18.82641,,,,,,,,71.89083,28.10917,,,68.92318,90.95754,44.48078,31.07682,67.95423,39.12587,158.91177,1
Tajikistan,TJK,,,,,,,,,,,,,,34.1556,36.87708,47.25275,39.84064,28.09224,,27.84431,8467.45569,,,,,13.02395,3960.58411,,,,100,,,,,12.87425,3915.06016,9.43114,2868.00918,19.16168,5827.06628,69.46108,21123.11526,,,,,,,90.56886,0.08788,9.43114,0.00915,,,,17.66467,5371.82673,30.53892,9286.88688,3.34145,,14.50421,,,,,,,,,,,,,,,,19.85682,22.68274,20.57272,18.91485,17.97287,,,,,,,67.65231,,,8.71782,,,,1
Thailand,THA,,,,,,,,,,,,,,,,,,,,7.47311,930439.1749,27.12079,3376674.032,9.61758,1197436.858,47.97509,5973140.227,63.26164,7876391.518,80.83961,12.18102,5.68701,0.10442,0.50083,0.68711,1.42191,177035.4338,9.37909,1167743.698,25.73755,3204453.705,90.56483,11275776.8,,,,,79.99716,0.8032,5.44014,0.05462,13.84851,0.13904,,0.71418,0.00717,8.01325,997690.1693,9.43517,1174725.603,179.89505,133.22172,7.62458,48.55281,4.28111,60.75735,7.90417,9.28555,29.20487,1.96775,5.53838,4.98839,22.71205,60.75735,,0.75222,14.56285,16.5306,24.33894,18.81005,9.80589,3.2815,0.40619,,,,,40.47345,2.88397,69.12289,1350.34325,52.01693,16.13243,296.93767,49.21958,2003.24203,1
Togo,TGO,9.41896,,9.70113,10.43478,11.26437,13.87283,10.73826,9.49367,9.72798,100,,12.34568,12.98077,,,,,,,22.91608,6558.4917,48.71052,13940.7573,51.23965,14664.58432,6.37509,1824.52608,,,,94.4574,,,,5.5427,22.52446,6446.40974,15.8683,4541.44417,16.523,4728.81784,61.68248,17653.27979,0.04983,14.25979,1.56152,446.90187,,,18.61422,0.04962,81.38588,0.21693,,,,14.23154,4073.01002,36.756,10519.41976,4.00947,105.37796,18.13187,11.06304,31.5062,,5.3838,24.268,75.732,15.05935,12.97019,13.75363,63.61382,0.1741,,,21.15273,36.21208,,,,,,10.35533,17.46193,42.63959,21.72589,,,77.31554,48.05369,14.68115,4.55259,3.61765,16.34498,64.49157,1
Trinidad and Tobago,TTO,53.33333,75,37.74834,55,54.19708,71.57895,60.83333,51.89189,50.26738,,,68.33333,70.32258,57.52508,56.17433,58.07453,50.63694,66.66667,51.68539,37.63325,15067.32594,55.4091,22184.29444,19.18755,7682.17346,8.46298,3388.34602,25.06482,10035.27163,8.2325,75.01441,,,,16.7531,0.41775,167.25453,22.02535,8818.35076,31.15097,12471.99707,99.27254,39746.0198,0.33852,135.53384,,,8.21089,0.00756,87.46759,0.08051,4.32152,,,,,0.30971,123.99905,0.72746,291.25357,28.92743,55.91798,32.81654,54.60894,14.6648,1.11732,21.08939,22.34637,76.53631,13.26816,16.75978,25.83799,78.35196,,,,8.37989,21.64804,19.85392,27.42364,21.38114,20.84993,4.58167,3.71846,9.29615,18.19389,68.7915,,5.90969,48.64341,517.31899,41.03896,18.54005,278.16733,48.35526,1317.86289,1
Tunisia,TUN,,29.98138,,43.39059,62.05466,,,,,,,,,,,,,,,,,,,,,,,,,18.94934,77.11069,,,,3.93996,,,,,,,,,,,,,18.50004,0.12103,50.49996,0.33038,31,0.20281,,,,,,,,74.89683,42.27619,1.80626,59.15369,,5.24184,,6.53521,88.22295,,,,,,,,,,,,,,,,,,,,,95.95223,1771.60777,41.59664,2.24151,61.73693,58.11753,1873.1192,1
Turkey,TUR,37.6429,25.85186,25.44415,32.494,42.88144,42.02153,50.08451,39.33643,30.69442,,,44.50098,43.64454,,,,,,,3.51489,763766.9483,,,,,62.30884,13539395.22,,,49.44824,33.60659,13.32375,,0.13834,3.48308,4.41752,959904.9755,12.98756,2822130.322,8.49471,1845857.342,87.30599,18971149.84,,,,,56.87678,0.54662,9.57424,0.09201,33.54898,0.32242,,,,8.27649,1798439.694,12.69401,2758344.669,267.88025,194.19887,7.84417,32.77864,4.29964,55.68266,60.66689,5.96284,38.3545,5.56156,11.63254,7.29983,83.8989,,,,10.53953,16.1011,,,,,,,,,,,,79.09433,1379.41194,28.15223,13.06149,353.73836,32.06406,1892.98225,1
Uganda,UGA,22.85443,19.90172,20.43121,29.21594,28.00342,29.83607,29.31807,23.28897,24.6582,,26.47528,34.64837,33.29301,37.5,31.58537,26.1745,22.27273,15.58442,33.33333,27.70534,31724.27375,47.1472,53986.36052,29.20962,33446.76089,20.69747,23699.83644,23.64318,27072.8505,3.40612,37.89091,2.316,0.67113,3.31549,52.40036,2.19471,2513.07974,12.9751,14857.26381,9.0935,10412.60497,70.47142,80693.97897,,,,,4.33641,0.00739,47.09071,0.08026,45.98967,0.07838,,2.58321,,27.33412,31299.20415,29.52884,33812.28389,3.10217,111.40881,11.80146,28.12804,20.51956,3.95991,9.47655,44.42499,45.51469,11.87001,19.5466,10.23545,59.77817,,,6.10041,28.36155,40.2121,18.53759,42.22451,23.01751,11.32853,3.96498,,,,,,0.92688,67.40715,27.84496,33.20783,20.79139,10.79338,31.04774,43.69909,1
Ukraine,UKR,53.3214,36.43433,33.02508,48.26817,40.99363,60.90478,64.90972,42.64324,40.68026,,,64.97932,63.58972,46.48434,49.74174,51.99344,45.1238,30.2258,41.05523,5.81804,107026.9956,21.27318,391335.6166,22.39577,411986.4858,63.66216,1171111.561,56.33104,1036250.308,30.51146,46.2778,0.28676,1.08145,0.12698,21.71554,2.13608,39294.77662,3.67361,67578.68086,20.60905,379118.3737,93.76285,1724835.611,,,,,58.4707,0.2756,34.85099,0.16427,6.67831,0.03148,,,,4.10106,75442.02299,6.23715,114736.7996,43.57445,44.10027,24.90128,43.60278,8.30045,27.25359,42.20418,52.94797,19.79843,4.35064,6.55856,30.17999,87.24319,,,,8.40617,12.75681,19.66858,22.17248,16.93042,20.60385,18.51987,,,,,,2.10481,65.39352,988.07663,58.3879,9.7052,150.13703,45.768,1553.75,1
United Arab Emirates,ARE,,24.20457,,13.61663,30.03017,,,,,,,,,,,,,,,,,,,,,,,,,74.28571,25.71429,,,,,,,,,,,,,,,,,61.93069,0.80706,25.42397,0.33132,12.64534,0.16479,,,,,,,,976.62693,410.5391,17.40025,23.71646,,77.8565,,10.83312,11.31038,,,,,,,,,,,,,,,,,,,,,63.6173,2378.88895,28.84504,18.98244,889.5377,28.20501,4159.95929,1
United Kingdom of Great Britain and Northern Ireland,GBR,,,,36.41266,,,,,,,,,,,,,,,,,,43.99057,20860624.76,18.09892,8582630.054,,,37.91081,17977561.86,53.72207,25.99099,0.69351,,5.15964,14.43408,,,,,,,,,,,,,69.1307,1.19189,6.11032,0.10535,22.5378,0.38858,,2.22393,0.03834,,,,,776.66049,168.71782,9.51812,,,40.62555,,2.27389,55.64622,,,,,,,1.45434,,,,,,,,,,,,,,73.42458,4603.31022,,17.05715,1305.4251,,6994.86477,1
United Republic of Tanzania,TZA,,,,30.34172,22.17441,,,,,,,,,,,,,,,,,70.39712,433053.0877,19.02608,117040.347,,,10.57679,65063.92727,,,,,,,,,,,,,,,,,,,,,38.64722,0.19886,61.35278,0.3157,,,,,,,,12.68807,662.49245,30.67553,24.51672,,,,28.67912,71.32088,,,,,,,,,,,,,,,,,,,,,56.55223,19.15202,20.63793,12.77224,6.20133,28.80112,40.56236,1
United States,USA,,,,,,,,,,,,,,,,,,,,,,19.76742,114958000,16.59178,96490000,,,63.37118,368537000,62.37076,22.96265,3.63166,,3.73242,7.30252,,,,,,,,,0.26962,1568000,,,72.57636,2.05947,10.36294,0.29407,12.8487,0.3646,,4.212,0.11952,,,,,1777.92614,382.72314,,,,71.31825,,,,,,,,,,,,,,,,,,,,,,,,,4412.43542,,,,,,1
Upper middle income countries,40043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.84843,226.19899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.49769,,,,,,1
Uruguay,URY,47.38372,26.66667,35.29412,47.90419,48.9008,53.69458,52.74725,48.99244,47.17887,50,48.05195,52,52.47253,,,,,,,20.74775,78423.86715,,,,,33.92995,128250.9333,,,4.59247,28.24423,59.47791,,0.26944,7.41576,4.87826,18439.21731,16.75314,63324.75621,7.08135,26766.60577,78.51219,296766.1624,,,,6.31417,23.90701,0.11569,35.63919,0.17247,39.7441,0.19233,,0.71018,,16.60788,62775.69763,21.48614,81214.91494,109.98745,159.21963,,48.79267,14.3214,0.62448,10.61615,13.90508,77.64363,8.45129,11.36553,33.05579,69.35887,0.33306,4.62115,3.20566,21.85679,30.30808,,,,,,,,,,,,,696.37621,,,,,,1
Uzbekistan,UZB,24.51643,37.59398,31.02336,32.70677,40.52231,52.01104,51.77785,33.82923,35.16137,,42.85714,37.74822,45.56735,40.33537,43.29242,43.92879,34.79167,35.38767,37.92049,9.44668,28359.1232,28.92564,86835.39804,19.45045,58390.66136,29.00203,87064.70362,21.5474,64685.74983,42.42783,54.31266,,2.96302,,0.2965,7.28904,21881.85061,5.5693,16719.15364,41.5363,124692.8481,85.5543,256835.8286,30.07651,90290.31055,,,40.43947,0.05247,41.59831,0.05398,16.81089,0.02181,,1.15133,,7.15666,21484.44058,14.4457,43366.29119,9.24375,19.41234,5.06387,38.27411,8.224,12.90051,16.44153,24.08096,62.52061,16.39885,12.03919,33.38226,70.08697,,,0.49791,13.51418,29.91303,27.7242,28.66028,20.64395,13.56997,6.32009,10.84341,27.84357,20.85126,35.86619,,3.08151,85.61248,476.17883,44.2665,4.19793,48.0659,39.18398,630.53782,1
Venezuela (Bolivarian Republic of),VEN,,,,,,,,,,,,,,57.98526,63.0137,63.16129,61.66478,52.40964,53.33333,,,,,,,,,,,,91.05944,8.94055,32.03099,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.03319,223.83033,,61.63194,,0.81446,,16.21109,79.78355,,,,,,3.0347,0.1562,,,15.68099,31.6413,29.85937,17.01021,4.79676,,,,,,1.01137,,300.25538,,,,,,1
Viet Nam,VNM,,,,,,,,,,,,,,,,,,,,6.6211,226256.0197,68.45058,1676209.582,16.606,406645.7766,73.07291,2497046.964,9.35433,229067.712,64.12012,26.93041,1.40262,3.05227,,4.49458,0.6675,22809.89701,1.93135,65998.12654,4.54245,155224.6078,86.16781,2944525.848,5.58909,136864.8435,,,73.04482,0.38476,21.27302,0.11205,5.32192,0.02803,,0.36023,,13.16469,449863.5352,13.83219,472673.4322,36.12237,51.03878,14.79416,44.78986,12.40273,24.06166,39.15583,49.72742,25.7748,4.47478,9.70233,9.81733,71.07822,,,0.43613,24.447,28.92178,,,,,,,,,,,,78.79757,707.74357,43.06401,6.40827,71.49,45.90136,895.69154,1
